Variant,VariableId,VariableName,FunctionId,FunctionName,VariableRefValue,FunctionRefValue,SensitivityValue
State N,BBE2AA1  BBE3AA1  1,BBE2AA1  BBE3AA1  1,BBE2AA1  FFR3AA1  1,BBE2AA1  FFR3AA1  1,N/A,499.779,27.8586
State N,BBE2AA1  BBE3AA1  1,BBE2AA1  BBE3AA1  1,FFR2AA1  DDE3AA1  1,FFR2AA1  DDE3AA1  1,N/A,1499.78,27.8586
State N,BBE2AA1  BBE3AA1  1,BBE2AA1  BBE3AA1  1,DDE2AA1  NNL3AA1  1,DDE2AA1  NNL3AA1  1,N/A,-1000.22,27.8586
State N,BBE2AA1  BBE3AA1  1,BBE2AA1  BBE3AA1  1,NNL2AA1  BBE3AA1  1,NNL2AA1  BBE3AA1  1,N/A,-1500.22,27.8586
Contingency FFR1AA1  FFR3AA1  1,BBE2AA1  BBE3AA1  1,BBE2AA1  BBE3AA1  1,BBE2AA1  FFR3AA1  1,BBE2AA1  FFR3AA1  1,N/A,451.895,26.5159
Contingency FFR1AA1  FFR3AA1  1,BBE2AA1  BBE3AA1  1,BBE2AA1  BBE3AA1  1,FFR2AA1  DDE3AA1  1,FFR2AA1  DDE3AA1  1,N/A,1451.92,26.5159
Contingency FFR1AA1  FFR3AA1  1,BBE2AA1  BBE3AA1  1,BBE2AA1  BBE3AA1  1,DDE2AA1  NNL3AA1  1,DDE2AA1  NNL3AA1  1,N/A,-1048.06,26.5159
Contingency FFR1AA1  FFR3AA1  1,BBE2AA1  BBE3AA1  1,BBE2AA1  BBE3AA1  1,NNL2AA1  BBE3AA1  1,NNL2AA1  BBE3AA1  1,N/A,-1548.03,26.5159
Contingency NNL1AA1  NNL3AA1  1,BBE2AA1  BBE3AA1  1,BBE2AA1  BBE3AA1  1,BBE2AA1  FFR3AA1  1,BBE2AA1  FFR3AA1  1,N/A,595.005,26.5237
Contingency NNL1AA1  NNL3AA1  1,BBE2AA1  BBE3AA1  1,BBE2AA1  BBE3AA1  1,FFR2AA1  DDE3AA1  1,FFR2AA1  DDE3AA1  1,N/A,1595.03,26.5237
Contingency NNL1AA1  NNL3AA1  1,BBE2AA1  BBE3AA1  1,BBE2AA1  BBE3AA1  1,DDE2AA1  NNL3AA1  1,DDE2AA1  NNL3AA1  1,N/A,-904.945,26.5237
Contingency NNL1AA1  NNL3AA1  1,BBE2AA1  BBE3AA1  1,BBE2AA1  BBE3AA1  1,NNL2AA1  BBE3AA1  1,NNL2AA1  BBE3AA1  1,N/A,-1404.92,26.5237
Contingency DDE2AA1  DDE3AA1  1,BBE2AA1  BBE3AA1  1,BBE2AA1  BBE3AA1  1,BBE2AA1  FFR3AA1  1,BBE2AA1  FFR3AA1  1,N/A,416.557,23.2188
Contingency DDE2AA1  DDE3AA1  1,BBE2AA1  BBE3AA1  1,BBE2AA1  BBE3AA1  1,FFR2AA1  DDE3AA1  1,FFR2AA1  DDE3AA1  1,N/A,1416.58,23.2188
Contingency DDE2AA1  DDE3AA1  1,BBE2AA1  BBE3AA1  1,BBE2AA1  BBE3AA1  1,DDE2AA1  NNL3AA1  1,DDE2AA1  NNL3AA1  1,N/A,-1083.39,23.2188
Contingency DDE2AA1  DDE3AA1  1,BBE2AA1  BBE3AA1  1,BBE2AA1  BBE3AA1  1,NNL2AA1  BBE3AA1  1,NNL2AA1  BBE3AA1  1,N/A,-1583.37,23.2188
Contingency NNL2AA1  NNL3AA1  1,BBE2AA1  BBE3AA1  1,BBE2AA1  BBE3AA1  1,BBE2AA1  FFR3AA1  1,BBE2AA1  FFR3AA1  1,N/A,707.898,23.2143
Contingency NNL2AA1  NNL3AA1  1,BBE2AA1  BBE3AA1  1,BBE2AA1  BBE3AA1  1,FFR2AA1  DDE3AA1  1,FFR2AA1  DDE3AA1  1,N/A,1707.92,23.2143
Contingency NNL2AA1  NNL3AA1  1,BBE2AA1  BBE3AA1  1,BBE2AA1  BBE3AA1  1,DDE2AA1  NNL3AA1  1,DDE2AA1  NNL3AA1  1,N/A,-792.052,23.2143
Contingency NNL2AA1  NNL3AA1  1,BBE2AA1  BBE3AA1  1,BBE2AA1  BBE3AA1  1,NNL2AA1  BBE3AA1  1,NNL2AA1  BBE3AA1  1,N/A,-1292.03,23.2143
Contingency BBE1AA1  BBE2AA1  1,BBE2AA1  BBE3AA1  1,BBE2AA1  BBE3AA1  1,BBE2AA1  FFR3AA1  1,BBE2AA1  FFR3AA1  1,N/A,618.760,39.7859
Contingency BBE1AA1  BBE2AA1  1,BBE2AA1  BBE3AA1  1,BBE2AA1  BBE3AA1  1,FFR2AA1  DDE3AA1  1,FFR2AA1  DDE3AA1  1,N/A,1618.79,39.7859
Contingency BBE1AA1  BBE2AA1  1,BBE2AA1  BBE3AA1  1,BBE2AA1  BBE3AA1  1,DDE2AA1  NNL3AA1  1,DDE2AA1  NNL3AA1  1,N/A,-881.190,39.7859
Contingency BBE1AA1  BBE2AA1  1,BBE2AA1  BBE3AA1  1,BBE2AA1  BBE3AA1  1,NNL2AA1  BBE3AA1  1,NNL2AA1  BBE3AA1  1,N/A,-1381.17,39.7859
Contingency FFR2AA1  FFR3AA1  1,BBE2AA1  BBE3AA1  1,BBE2AA1  BBE3AA1  1,BBE2AA1  FFR3AA1  1,BBE2AA1  FFR3AA1  1,N/A,82.4280,23.1661
Contingency FFR2AA1  FFR3AA1  1,BBE2AA1  BBE3AA1  1,BBE2AA1  BBE3AA1  1,FFR2AA1  DDE3AA1  1,FFR2AA1  DDE3AA1  1,N/A,1082.45,23.1661
Contingency FFR2AA1  FFR3AA1  1,BBE2AA1  BBE3AA1  1,BBE2AA1  BBE3AA1  1,DDE2AA1  NNL3AA1  1,DDE2AA1  NNL3AA1  1,N/A,-1417.52,23.1661
Contingency FFR2AA1  FFR3AA1  1,BBE2AA1  BBE3AA1  1,BBE2AA1  BBE3AA1  1,NNL2AA1  BBE3AA1  1,NNL2AA1  BBE3AA1  1,N/A,-1917.50,23.1661
Contingency BBE1AA1  BBE3AA1  1,BBE2AA1  BBE3AA1  1,BBE2AA1  BBE3AA1  1,BBE2AA1  FFR3AA1  1,BBE2AA1  FFR3AA1  1,N/A,476.017,39.8045
Contingency BBE1AA1  BBE3AA1  1,BBE2AA1  BBE3AA1  1,BBE2AA1  BBE3AA1  1,FFR2AA1  DDE3AA1  1,FFR2AA1  DDE3AA1  1,N/A,1476.04,39.8045
Contingency BBE1AA1  BBE3AA1  1,BBE2AA1  BBE3AA1  1,BBE2AA1  BBE3AA1  1,DDE2AA1  NNL3AA1  1,DDE2AA1  NNL3AA1  1,N/A,-1024.03,39.8045
Contingency BBE1AA1  BBE3AA1  1,BBE2AA1  BBE3AA1  1,BBE2AA1  BBE3AA1  1,NNL2AA1  BBE3AA1  1,NNL2AA1  BBE3AA1  1,N/A,-1524.01,39.8045
Contingency DDE1AA1  DDE2AA1  1,BBE2AA1  BBE3AA1  1,BBE2AA1  BBE3AA1  1,BBE2AA1  FFR3AA1  1,BBE2AA1  FFR3AA1  1,N/A,547.282,26.5365
Contingency DDE1AA1  DDE2AA1  1,BBE2AA1  BBE3AA1  1,BBE2AA1  BBE3AA1  1,FFR2AA1  DDE3AA1  1,FFR2AA1  DDE3AA1  1,N/A,1547.31,26.5365
Contingency DDE1AA1  DDE2AA1  1,BBE2AA1  BBE3AA1  1,BBE2AA1  BBE3AA1  1,DDE2AA1  NNL3AA1  1,DDE2AA1  NNL3AA1  1,N/A,-952.668,26.5365
Contingency DDE1AA1  DDE2AA1  1,BBE2AA1  BBE3AA1  1,BBE2AA1  BBE3AA1  1,NNL2AA1  BBE3AA1  1,NNL2AA1  BBE3AA1  1,N/A,-1452.64,26.5365
Contingency DDE1AA1  DDE3AA1  1,BBE2AA1  BBE3AA1  1,BBE2AA1  BBE3AA1  1,BBE2AA1  FFR3AA1  1,BBE2AA1  FFR3AA1  1,N/A,404.672,26.5276
Contingency DDE1AA1  DDE3AA1  1,BBE2AA1  BBE3AA1  1,BBE2AA1  BBE3AA1  1,FFR2AA1  DDE3AA1  1,FFR2AA1  DDE3AA1  1,N/A,1404.70,26.5276
Contingency DDE1AA1  DDE3AA1  1,BBE2AA1  BBE3AA1  1,BBE2AA1  BBE3AA1  1,DDE2AA1  NNL3AA1  1,DDE2AA1  NNL3AA1  1,N/A,-1095.28,26.5276
Contingency DDE1AA1  DDE3AA1  1,BBE2AA1  BBE3AA1  1,BBE2AA1  BBE3AA1  1,NNL2AA1  BBE3AA1  1,NNL2AA1  BBE3AA1  1,N/A,-1595.25,26.5276
Contingency NNL1AA1  NNL2AA1  1,BBE2AA1  BBE3AA1  1,BBE2AA1  BBE3AA1  1,BBE2AA1  FFR3AA1  1,BBE2AA1  FFR3AA1  1,N/A,523.556,26.5308
Contingency NNL1AA1  NNL2AA1  1,BBE2AA1  BBE3AA1  1,BBE2AA1  BBE3AA1  1,FFR2AA1  DDE3AA1  1,FFR2AA1  DDE3AA1  1,N/A,1523.58,26.5308
Contingency NNL1AA1  NNL2AA1  1,BBE2AA1  BBE3AA1  1,BBE2AA1  BBE3AA1  1,DDE2AA1  NNL3AA1  1,DDE2AA1  NNL3AA1  1,N/A,-976.394,26.5308
Contingency NNL1AA1  NNL2AA1  1,BBE2AA1  BBE3AA1  1,BBE2AA1  BBE3AA1  1,NNL2AA1  BBE3AA1  1,NNL2AA1  BBE3AA1  1,N/A,-1476.37,26.5308
Contingency FFR1AA1  FFR2AA1  1,BBE2AA1  BBE3AA1  1,BBE2AA1  BBE3AA1  1,BBE2AA1  FFR3AA1  1,BBE2AA1  FFR3AA1  1,N/A,307.919,26.4799
Contingency FFR1AA1  FFR2AA1  1,BBE2AA1  BBE3AA1  1,BBE2AA1  BBE3AA1  1,FFR2AA1  DDE3AA1  1,FFR2AA1  DDE3AA1  1,N/A,1307.94,26.4799
Contingency FFR1AA1  FFR2AA1  1,BBE2AA1  BBE3AA1  1,BBE2AA1  BBE3AA1  1,DDE2AA1  NNL3AA1  1,DDE2AA1  NNL3AA1  1,N/A,-1192.03,26.4799
Contingency FFR1AA1  FFR2AA1  1,BBE2AA1  BBE3AA1  1,BBE2AA1  BBE3AA1  1,NNL2AA1  BBE3AA1  1,NNL2AA1  BBE3AA1  1,N/A,-1692.01,26.4799
